pair,genename,zscore
V$E2F_Q3_01 - V$MYCMAX_B,CRAT,5.13465974874512
V$HNF4ALPHA_Q6 - V$NFY_Q6_01,CRAT,3.29877557517588
V$PU1_Q6 - V$SMAD_Q6_01,CRAT,3.10600358195935
V$PEBP_Q6 - V$PU1_Q6,CRAT,3.31454051735271
V$HNF4_Q6 - V$SF1_Q6,CRAT,3.06465334327625
V$CEBP_Q3 - V$E2F_Q3_01,CRAT,3.05266164610106
V$CEBP_Q3 - V$HNF4_Q6,CRAT,3.02484949888457
V$E2F_Q3_01 - V$GR_Q6_01,CRAT,3.3505192746391
V$GR_Q6_01 - V$PEBP_Q6,CRAT,3.58437693191253
V$HNF4_Q6 - V$MAF_Q6_01,CRAT,3.3618659778297
V$AP1FJ_Q2 - V$CETS1P54_01,SLC35E4,3.09077163328309
V$CETS1P54_01 - V$SMAD_Q6_01,SLC35E4,3.5881799961156
V$CP2_01 - V$NFKAPPAB65_01,SLC35E4,3.14538321457628
V$ER_Q6_02 - V$NFKAPPAB65_01,SLC35E4,3.13322040793695
V$CP2_01 - V$CREL_01,SLC35E4,3.38483056431132
